deal_id;target_country;location;investor_name;investor_country;intention;year;negotiation_status;implementation_status;intended_size;nature_of_deal;contract_farming
4042;Peru;Puno;;;;;;;;;
4043;Colombia;Meta;;;;;;;;;
4044;Colombia;La Primavera;;;;;;;;;
4045;Colombia;La Primavera;;;;;;;;;
4046;Colombia;La Primavera;;;;;;;;;
4047;Colombia;La Primavera;;;;;;;;;
4048;Colombia;La Primavera;;;;;;;;;
4049;Colombia;La Primavera;;;;;;;;;
4050;Colombia;La Primavera;;;;;;;;;
4051;Colombia;La Primavera;;;;;;;;;
4052;Colombia;La Primavera;;;;;;;;;
4053;Colombia;La Primavera;;;;;;;;;
4054;Laos;Bolikhamsai;;;;;;;;;
4055;Senegal;Ross Bethio;;;;;;;;;
4056;Senegal;Syer;;;;;;;;;
4057;Senegal;Diokoul;;;;;;;;;
4058;Senegal;Wassadou;;;;;;;;;
4059;Senegal;Ourour;;;;;;;;;
4060;Zambia;Mazabuka;;;;;;;;;
4061;Mozambique;Gurue;;;;;;;;;
4063;China;Guangxi;;;;;;;;;
4064;China;Huizhou;;;;;;;;;
4065;China;Meizhou;;;;;;;;;
4068;Chile;Santiago;;;;;;;;;
4070;Argentina;Rivadavia;;;;;;;;;
4071;China;Yangpu Economic Development Zone Procuratorate;;;;;;;;;
4076;China;Zhangjiagang;;;;;;;;;
4077;China;Xinjiang;;;;;;;;;
4078;China;Xinjiang;;;;;;;;;
4079;China;Shachengzhen;;;;;;;;;
4080;China;Longjing Reservoir;;;;;;;;;
4081;Brazil;Cristalina - Goiás;;;;;;;;;
4082;Brazil;Porto dos Gaúchos;;;;;;;;;
4083;Philippines;Tarlac City;;;;;;;;;
4084;Philippines;Floridablanca;;;;;;;;;
4085;Philippines;Philippinen;;;;;;;;;
4086;Philippines;Maragondon;;;;;;;;;
4087;Brazil;Martinópolis;;;;;;;;;
4088;Brazil;Chapadão do Sul;;;;;;;;;
4089;Brazil;Narandiba;;;;;;;;;
